,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas
10,2,192,bmw,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.375,0.5416666666666666,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,16430,10.217391304347826,8.10344827586207,Low,False,True
11,0,192,bmw,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.375,0.5416666666666666,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,16925,10.217391304347826,8.10344827586207,Low,False,True
12,0,188,bmw,std,two,sedan,rwd,front,101.2,0.5328358208955226,0.375,0.5416666666666666,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,20970,11.19047619047619,8.392857142857142,Low,False,True
13,0,188,bmw,std,four,sedan,rwd,front,101.2,0.5328358208955226,0.375,0.5416666666666666,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,21105,11.19047619047619,8.392857142857142,Low,False,True
14,1,122,bmw,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5500000000000007,0.6583333333333338,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,24565,11.75,9.4,Low,False,True
15,0,122,bmw,std,four,sedan,rwd,front,103.5,0.7149253731343285,0.5500000000000007,0.6583333333333338,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,30760,14.6875,10.681818181818182,Medium,False,True
16,0,122,bmw,std,two,sedan,rwd,front,103.5,0.7865671641791048,0.6333333333333341,0.49166666666666714,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,41315,14.6875,10.681818181818182,Medium,False,True
17,0,122,bmw,std,four,sedan,rwd,front,110.0,0.8343283582089553,0.8833333333333341,0.7083333333333334,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,36880,15.666666666666666,11.75,Medium,False,True
18,2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.0,0.0,0.45000000000000046,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,5151,5.0,4.433962264150943,Low,False,True
19,1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.22089552238805987,0.27500000000000036,0.35000000000000026,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,6295,6.184210526315789,5.465116279069767,Low,False,True
20,0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.26417910447761217,0.27500000000000036,0.35000000000000026,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,6575,6.184210526315789,5.465116279069767,Low,False,True
21,1,118,dodge,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2916666666666667,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,5572,6.351351351351352,5.7317073170731705,Low,False,True
22,1,118,dodge,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2916666666666667,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,6377,7.580645161290323,6.184210526315789,Low,False,True
23,1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2916666666666667,0.25,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,7957,9.791666666666666,7.833333333333333,Low,False,True
24,1,148,dodge,std,four,hatchback,fwd,front,93.7,0.24179104477611965,0.2916666666666667,0.2333333333333337,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,6229,7.580645161290323,6.184210526315789,Low,False,True
25,1,148,dodge,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2916666666666667,0.2333333333333337,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,6692,7.580645161290323,6.184210526315789,Low,False,True
26,1,148,dodge,std,four,sedan,fwd,front,93.7,0.24179104477611965,0.2916666666666667,0.2333333333333337,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,7609,7.580645161290323,6.184210526315789,Low,False,True
27,1,148,dodge,turbo,,sedan,fwd,front,93.7,0.24179104477611965,0.2916666666666667,0.2333333333333337,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,8558,9.791666666666666,7.833333333333333,Low,False,True
28,-1,110,dodge,std,four,wagon,fwd,front,103.3,0.5,0.3583333333333331,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,8921,9.791666666666666,7.833333333333333,Low,False,True
29,3,145,dodge,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5,0.20000000000000048,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,19,12964,12.368421052631579,9.791666666666666,Medium,False,True
30,2,137,honda,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.3000000000000001,0.25,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,6479,4.795918367346939,4.351851851851852,Low,False,True
31,2,137,honda,std,two,hatchback,fwd,front,86.6,0.05223880597014925,0.3000000000000001,0.25,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,6855,7.580645161290323,6.184210526315789,Low,False,True
32,1,101,honda,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.30833333333333357,0.40000000000000036,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,5399,6.184210526315789,5.595238095238095,Low,False,True
33,1,101,honda,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.30833333333333357,0.40000000000000036,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,6529,7.833333333333333,6.911764705882353,Low,False,True
34,1,101,honda,std,two,hatchback,fwd,front,93.7,0.13283582089552248,0.30833333333333357,0.40000000000000036,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,7129,7.833333333333333,6.911764705882353,Low,False,True
35,0,110,honda,std,four,sedan,fwd,front,96.5,0.33283582089552255,0.30833333333333357,0.5583333333333336,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,7295,7.833333333333333,6.911764705882353,Low,False,True
36,0,78,honda,std,four,wagon,fwd,front,96.5,0.23880597014925373,0.3000000000000001,0.875,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,7295,7.833333333333333,6.911764705882353,Low,False,True
37,0,106,honda,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4083333333333338,0.4583333333333333,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,7895,8.703703703703704,7.121212121212121,Low,False,True
38,0,106,honda,std,two,hatchback,fwd,front,96.5,0.39402985074626873,0.4083333333333338,0.4583333333333333,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,9095,8.703703703703704,7.121212121212121,Low,False,True
39,0,85,honda,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4083333333333338,0.5250000000000004,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,8845,8.703703703703704,7.121212121212121,Low,False,True
40,0,85,honda,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.18333333333333357,0.5250000000000004,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,10295,8.703703703703704,7.121212121212121,Low,False,True
41,0,85,honda,std,four,sedan,fwd,front,96.5,0.5119402985074628,0.4083333333333338,0.5250000000000004,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,12945,9.791666666666666,8.392857142857142,Low,False,True
42,1,107,honda,std,two,sedan,fwd,front,96.5,0.417910447761194,0.47500000000000026,0.2666666666666669,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,10345,9.4,7.580645161290323,Low,False,True
43,0,122,isuzu,std,four,sedan,rwd,front,94.3,0.4417910447761193,0.125,0.47500000000000026,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,6785,9.791666666666666,8.10344827586207,Low,False,True
44,1,122,isuzu,std,two,sedan,fwd,front,94.5,0.22089552238805987,0.27500000000000036,0.35000000000000026,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,,6.184210526315789,5.465116279069767,Low,False,True
45,0,122,isuzu,std,four,sedan,fwd,front,94.5,0.22089552238805987,0.27500000000000036,0.35000000000000026,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,,6.184210526315789,5.465116279069767,Low,False,True
46,2,122,isuzu,std,two,hatchback,rwd,front,96.0,0.4701492537313433,0.4083333333333338,0.3000000000000001,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,11048,9.791666666666666,8.10344827586207,Low,False,True
47,0,145,jaguar,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7749999999999998,0.4166666666666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,32250,15.666666666666666,12.368421052631579,Medium,False,True
48,0,122,jaguar,std,four,sedan,rwd,front,113.0,0.8731343283582089,0.7749999999999998,0.4166666666666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,35550,15.666666666666666,12.368421052631579,Medium,False,True
49,0,122,jaguar,std,two,sedan,rwd,front,102.0,0.7552238805970148,0.8583333333333331,0.0,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,36000,18.076923076923077,13.823529411764707,High,False,True
50,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.32500000000000046,0.5250000000000004,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,30,5195,7.833333333333333,7.580645161290323,Low,False,True
51,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.32500000000000046,0.5250000000000004,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,6095,7.580645161290323,6.184210526315789,Low,False,True
52,1,104,mazda,std,two,hatchback,fwd,front,93.1,0.26865671641791045,0.32500000000000046,0.5250000000000004,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,6795,7.580645161290323,6.184210526315789,Low,False,True
53,1,113,mazda,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.32500000000000046,0.5250000000000004,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,6695,7.580645161290323,6.184210526315789,Low,False,True
54,1,113,mazda,std,four,sedan,fwd,front,93.1,0.38358208955223905,0.32500000000000046,0.5250000000000004,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,7395,7.580645161290323,6.184210526315789,Low,False,True
55,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.45000000000000046,0.15000000000000036,2380,rotor,two,70,4bbl,,,9.4,101,6000,17,10945,13.823529411764707,10.217391304347826,Low,False,True
56,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.45000000000000046,0.15000000000000036,2380,rotor,two,70,4bbl,,,9.4,101,6000,17,11845,13.823529411764707,10.217391304347826,Low,False,True
57,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.45000000000000046,0.15000000000000036,2385,rotor,two,70,4bbl,,,9.4,101,6000,17,13645,13.823529411764707,10.217391304347826,Low,False,True
58,3,150,mazda,std,two,hatchback,rwd,front,95.3,0.4164179104477613,0.45000000000000046,0.15000000000000036,2500,rotor,two,80,mpfi,,,9.4,135,6000,16,15645,14.6875,10.217391304347826,Medium,False,True
59,1,129,mazda,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.5166666666666669,0.49166666666666714,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,8845,9.038461538461538,7.34375,Low,False,True
60,0,115,mazda,std,four,sedan,fwd,front,98.8,0.547761194029851,0.5166666666666669,0.6416666666666669,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,8495,9.038461538461538,7.34375,Low,False,True
61,1,129,mazda,std,two,hatchback,fwd,front,98.8,0.547761194029851,0.5166666666666669,0.49166666666666714,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,10595,9.038461538461538,7.34375,Low,False,True
62,0,115,mazda,std,four,sedan,fwd,front,98.8,0.547761194029851,0.5166666666666669,0.6416666666666669,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,10245,9.038461538461538,7.34375,Low,False,True
63,0,122,mazda,std,,sedan,fwd,front,98.8,0.547761194029851,0.5166666666666669,0.6416666666666669,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,10795,6.527777777777778,5.595238095238095,Low,True,False
64,0,115,mazda,std,four,hatchback,fwd,front,98.8,0.547761194029851,0.5166666666666669,0.6416666666666669,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,11245,9.038461538461538,7.34375,Low,False,True
65,0,118,mazda,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.4833333333333331,0.5500000000000002,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,19,18280,12.368421052631579,8.703703703703704,Low,False,True
66,0,122,mazda,std,four,sedan,rwd,front,104.9,0.5059701492537314,0.4833333333333331,0.5500000000000002,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,31,18344,7.580645161290323,6.0256410256410255,Low,True,False
67,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110.0,0.7432835820895524,0.8333333333333334,0.7250000000000002,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25552,10.681818181818182,9.4,Low,True,False
68,-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110.0,0.7432835820895524,0.8333333333333334,0.9083333333333338,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,28248,10.681818181818182,9.4,Low,True,False
69,0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.6925373134328359,0.8333333333333334,0.5916666666666668,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,28176,10.681818181818182,9.4,Low,True,False
70,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.917910447761194,0.9500000000000005,0.7083333333333334,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,31600,10.681818181818182,9.4,Low,True,False
71,-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,0.917910447761194,0.9500000000000005,0.7250000000000002,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,34184,14.6875,13.055555555555555,Medium,False,True
72,3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,0.5850746268656719,0.8500000000000002,0.25,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,35056,14.6875,13.055555555555555,Medium,False,True
73,0,122,mercedes-benz,std,four,sedan,rwd,front,120.9,1.0,0.9500000000000005,0.7416666666666671,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,14,40960,16.785714285714285,14.6875,Medium,False,True
74,1,122,mercedes-benz,std,two,hardtop,rwd,front,112.0,0.8671641791044775,0.9750000000000002,0.6333333333333334,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500,14,45400,16.785714285714285,14.6875,Medium,False,True
75,1,122,mercury,turbo,two,hatchback,rwd,front,102.7,0.5567164179104479,0.6416666666666669,0.5833333333333334,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,19,16503,12.368421052631579,9.791666666666666,Medium,False,True
76,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.3416666666666674,0.25,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,5389,6.351351351351352,5.7317073170731705,Low,False,True
77,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.3416666666666674,0.25,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,6189,7.580645161290323,6.184210526315789,Low,False,True
78,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.3416666666666674,0.25,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,6669,7.580645161290323,6.184210526315789,Low,False,True
79,1,161,mitsubishi,turbo,two,hatchback,fwd,front,93.0,0.24179104477611965,0.2916666666666667,0.25,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,7689,9.791666666666666,7.833333333333333,Low,False,True
80,3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4250000000000007,0.13333333333333344,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,9959,10.217391304347826,7.833333333333333,Low,False,True
81,3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,0.4761194029850747,0.4250000000000007,0.13333333333333344,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,8499,9.4,7.34375,Low,False,True
82,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5,0.20000000000000048,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000,19,12629,12.368421052631579,9.791666666666666,Medium,False,True
83,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5,0.20000000000000048,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,14869,12.368421052631579,9.791666666666666,Medium,False,True
84,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.4791044776119402,0.5,0.20000000000000048,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,14489,12.368421052631579,9.791666666666666,Medium,False,True
85,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4250000000000007,0.31666666666666704,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,6989,9.4,7.34375,Low,False,True
86,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4250000000000007,0.31666666666666704,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,8189,9.4,7.34375,Low,False,True
87,1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.4671641791044778,0.4250000000000007,0.31666666666666704,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,9279,10.217391304347826,7.833333333333333,Low,False,True
88,-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,0.4671641791044778,0.4250000000000007,0.31666666666666704,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,9279,10.217391304347826,7.833333333333333,Low,False,True
89,1,128,nissan,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2916666666666667,0.5583333333333336,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,5499,7.580645161290323,6.351351351351352,Low,False,True
90,1,128,nissan,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2916666666666667,0.5583333333333336,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,7099,5.222222222222222,4.7,Low,True,False
91,1,128,nissan,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2916666666666667,0.5583333333333336,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6649,7.580645161290323,6.351351351351352,Low,False,True
92,1,122,nissan,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2916666666666667,0.5583333333333336,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6849,7.580645161290323,6.351351351351352,Low,False,True
93,1,103,nissan,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2916666666666667,0.47500000000000026,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,7349,7.580645161290323,6.351351351351352,Low,False,True
94,1,128,nissan,std,two,sedan,fwd,front,94.5,0.3611940298507465,0.2916666666666667,0.5583333333333336,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,7299,7.580645161290323,6.351351351351352,Low,False,True
95,1,128,nissan,std,two,hatchback,fwd,front,94.5,0.3656716417910448,0.2916666666666667,0.4583333333333333,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,7799,7.580645161290323,6.351351351351352,Low,False,True
96,1,122,nissan,std,four,sedan,fwd,front,94.5,0.3611940298507465,0.2916666666666667,0.5583333333333336,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,7499,7.580645161290323,6.351351351351352,Low,False,True
97,1,103,nissan,std,four,wagon,fwd,front,94.5,0.43432835820895516,0.2916666666666667,0.47500000000000026,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,7999,7.580645161290323,6.351351351351352,Low,False,True
98,2,168,nissan,std,two,hardtop,fwd,front,95.1,0.3179104477611942,0.2916666666666667,0.4583333333333333,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,8249,7.580645161290323,6.351351351351352,Low,False,True
99,0,106,nissan,std,four,hatchback,fwd,front,97.2,0.4820895522388061,0.4083333333333338,0.5750000000000005,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,8949,8.703703703703704,6.911764705882353,Low,False,True
100,0,106,nissan,std,four,sedan,fwd,front,97.2,0.4820895522388061,0.4083333333333338,0.5750000000000005,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,9549,8.703703703703704,6.911764705882353,Low,False,True
101,0,128,nissan,std,four,sedan,fwd,front,100.4,0.6059701492537313,0.5166666666666669,0.6083333333333337,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,13499,13.823529411764707,10.681818181818182,Medium,False,True
102,0,108,nissan,std,four,wagon,fwd,front,100.4,0.6492537313432836,0.5166666666666669,0.691666666666667,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,14399,13.823529411764707,10.681818181818182,Medium,False,True
103,0,108,nissan,std,four,sedan,fwd,front,100.4,0.6492537313432836,0.5166666666666669,0.6083333333333337,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,19,13499,12.368421052631579,9.4,Medium,False,True
104,3,194,nissan,std,two,hatchback,rwd,front,91.3,0.4417910447761193,0.6333333333333341,0.1583333333333338,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,17199,12.368421052631579,9.4,Medium,False,True
105,3,194,nissan,turbo,two,hatchback,rwd,front,91.3,0.4417910447761193,0.6333333333333341,0.1583333333333338,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,19699,13.823529411764707,10.217391304347826,Medium,False,True
106,1,231,nissan,std,two,hatchback,rwd,front,99.2,0.5582089552238807,0.6333333333333341,0.1583333333333338,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,18399,12.368421052631579,9.4,Medium,False,True
107,0,161,peugot,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.6750000000000007,0.7416666666666671,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,11900,12.368421052631579,9.791666666666666,Low,False,True
108,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.6805970149253731,0.6750000000000007,0.7416666666666671,3197,l,four,152,idi,3.7,3.52,21.0,95,4150,28,13200,8.392857142857142,7.121212121212121,Low,True,False
109,0,122,peugot,std,four,wagon,rwd,front,114.2,0.8626865671641792,0.6750000000000007,0.9083333333333338,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,12440,12.368421052631579,9.791666666666666,Low,False,True
110,0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.8626865671641792,0.6750000000000007,0.9083333333333338,3430,l,four,152,idi,3.7,3.52,21.0,95,4150,25,13860,9.4,9.4,Low,True,False
111,0,161,peugot,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.6750000000000007,0.7416666666666671,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,15580,12.368421052631579,9.791666666666666,Low,False,True
112,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.6805970149253731,0.6750000000000007,0.7416666666666671,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,28,16900,8.392857142857142,7.121212121212121,Low,True,False
113,0,122,peugot,std,four,wagon,rwd,front,114.2,0.8626865671641792,0.6750000000000007,0.7416666666666671,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,16695,12.368421052631579,9.791666666666666,Low,False,True
114,0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.8626865671641792,0.6750000000000007,0.9083333333333338,3485,l,four,152,idi,3.7,3.52,21.0,95,4150,25,17075,9.4,9.4,Low,True,False
115,0,161,peugot,std,four,sedan,rwd,front,107.9,0.6805970149253731,0.6750000000000007,0.7416666666666671,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,16630,12.368421052631579,9.791666666666666,Low,False,True
116,0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.6805970149253731,0.6750000000000007,0.7416666666666671,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,28,17950,8.392857142857142,7.121212121212121,Low,True,False
117,0,161,peugot,turbo,four,sedan,rwd,front,108.0,0.6805970149253731,0.6666666666666666,0.6833333333333336,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,18,18150,13.055555555555555,9.791666666666666,Medium,False,True
118,1,119,plymouth,std,two,hatchback,fwd,front,93.7,0.24179104477611965,0.2916666666666667,0.25,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,5572,6.351351351351352,5.7317073170731705,Low,False,True
